held_out,alpha,method,coverage,avg_size,target_coverage
TSP25_10X_3Prime_v3.1,0.1,domain_clf,0.9936009307737056,16.20302501454334,0.9
TSP25_10X_3Prime_v3.1,0.1,structure_aware,0.8627108784176847,1.290285049447353,0.9
TSP25_10X_5Prime_v2,0.01,naive,0.9851652056641942,2.05664194200944,0.99
TSP25_10X_5Prime_v2,0.01,domain_clf,1.0,16.98111935266352,0.99
TSP25_10X_5Prime_v2,0.01,structure_aware,0.9817936614969656,2.062710721510452,0.99
TSP25_10X_5Prime_v2,0.05,naive,0.9062710721510452,1.4457181389076197,0.95
TSP25_10X_5Prime_v2,0.05,domain_clf,0.9993256911665542,16.935940660822656,0.95
TSP25_10X_5Prime_v2,0.05,structure_aware,0.9082939986513824,1.4396493594066082,0.95
TSP25_10X_5Prime_v2,0.1,naive,0.8496291301416049,1.3007417397167902,0.9
TSP25_10X_5Prime_v2,0.1,domain_clf,0.9973027646662171,16.851652056641942,0.9
TSP25_10X_5Prime_v2,0.1,structure_aware,0.8482805124747134,1.2650033715441673,0.9
TSP27_10X_3Prime_v3.1,0.01,naive,0.9919354838709677,1.2016129032258065,0.99
TSP27_10X_3Prime_v3.1,0.01,domain_clf,0.9979838709677419,15.8125,0.99
TSP27_10X_3Prime_v3.1,0.01,structure_aware,0.9879032258064516,1.1875,0.99
TSP27_10X_3Prime_v3.1,0.05,naive,0.9354838709677419,1.032258064516129,0.95
TSP27_10X_3Prime_v3.1,0.05,domain_clf,0.9717741935483871,11.19758064516129,0.95
TSP27_10X_3Prime_v3.1,0.05,structure_aware,0.9415322580645161,1.0262096774193548,0.95
TSP27_10X_3Prime_v3.1,0.1,naive,0.9112903225806451,0.9737903225806451,0.9
TSP27_10X_3Prime_v3.1,0.1,domain_clf,0.9294354838709677,6.754032258064516,0.9
TSP27_10X_3Prime_v3.1,0.1,structure_aware,0.905241935483871,0.9657258064516129,0.9
TSP2_10X_3Prime_v3.1,0.01,naive,0.9499248873309964,3.5518277416124184,0.99
TSP2_10X_3Prime_v3.1,0.01,domain_clf,1.0,16.27841762643966,0.99
TSP2_10X_3Prime_v3.1,0.01,structure_aware,0.9534301452178268,3.556334501752629,0.99
TSP2_10X_3Prime_v3.1,0.05,naive,0.7701552328492739,2.231847771657486,0.95
TSP2_10X_3Prime_v3.1,0.05,domain_clf,0.9949924887330996,15.936905358037055,0.95
TSP2_10X_3Prime_v3.1,0.05,structure_aware,0.7801702553830746,2.2363545317976965,0.95
TSP2_10X_3Prime_v3.1,0.1,naive,0.6384576865297947,1.7906860290435653,0.9
TSP2_10X_3Prime_v3.1,0.1,domain_clf,0.9874812218327491,15.726589884827241,0.9
TSP2_10X_3Prime_v3.1,0.1,structure_aware,0.6309464196294442,1.7751627441161744,0.9
TSP2_10X_5Prime_v2,0.01,naive,0.9478935698447893,2.7028824833702885,0.99
TSP2_10X_5Prime_v2,0.01,domain_clf,1.0,16.983370288248338,0.99
TSP2_10X_5Prime_v2,0.01,structure_aware,0.9390243902439024,2.686252771618625,0.99
TSP2_10X_5Prime_v2,0.05,naive,0.8148558758314856,1.712860310421286,0.95
TSP2_10X_5Prime_v2,0.05,domain_clf,1.0,16.964523281596453,0.95
TSP2_10X_5Prime_v2,0.05,structure_aware,0.811529933481153,1.7017738359201773,0.95
TSP2_10X_5Prime_v2,0.1,naive,0.7261640798226164,1.457871396895787,0.9
TSP2_10X_5Prime_v2,0.1,domain_clf,1.0,16.946784922394677,0.9
TSP2_10X_5Prime_v2,0.1,structure_aware,0.7217294900221729,1.4401330376940134,0.9
TSP7_10X_3Prime_v3.1,0.01,naive,0.988,1.7595,0.99
TSP7_10X_3Prime_v3.1,0.01,domain_clf,0.9985,13.7305,0.99
TSP7_10X_3Prime_v3.1,0.01,structure_aware,0.9885,1.756,0.99
TSP7_10X_3Prime_v3.1,0.05,naive,0.9345,1.35,0.95
TSP7_10X_3Prime_v3.1,0.05,domain_clf,0.9195,10.6375,0.95
TSP7_10X_3Prime_v3.1,0.05,structure_aware,0.932,1.343,0.95
TSP7_10X_3Prime_v3.1,0.1,naive,0.8665,1.175,0.9
TSP7_10X_3Prime_v3.1,0.1,domain_clf,0.8485,9.7015,0.9
TSP7_10X_3Prime_v3.1,0.1,structure_aware,0.863,1.1675,0.9
TSP8_10X_3Prime_v3.1,0.01,naive,0.9955,1.445,0.99
TSP8_10X_3Prime_v3.1,0.01,domain_clf,1.0,16.8785,0.99
TSP8_10X_3Prime_v3.1,0.01,structure_aware,0.999,1.443,0.99
TSP8_10X_3Prime_v3.1,0.05,naive,0.9625,1.0555,0.95
TSP8_10X_3Prime_v3.1,0.05,domain_clf,0.999,16.596,0.95
TSP8_10X_3Prime_v3.1,0.05,structure_aware,0.9695,1.0655,0.95
TSP8_10X_3Prime_v3.1,0.1,naive,0.9165,0.9625,0.9
TSP8_10X_3Prime_v3.1,0.1,domain_clf,0.9985,16.438,0.9
TSP8_10X_3Prime_v3.1,0.1,structure_aware,0.908,0.9565,0.9
