direction,alpha,method,coverage,ci_lo,ci_median,ci_hi,n_query
healthy->tumor,0.01,naive,0.9588074167720185,0.9549093973872735,0.9587020648967551,0.9626000842815002,9492
healthy->tumor,0.01,structure_aware_propensity,0.9585967130214917,0.9545933417614834,0.9584913611462283,0.9624947324062368,9492
healthy->tumor,0.01,domain_clf,0.9985250737463127,0.9976822587442057,0.9985250737463127,0.9992625368731564,9492
healthy->tumor,0.05,naive,0.7522123893805309,0.7429414243573536,0.7521070375052676,0.7610619469026548,9492
healthy->tumor,0.05,structure_aware_propensity,0.7373577749683944,0.7281921618204804,0.7376738305941846,0.7462099662873999,9492
healthy->tumor,0.05,domain_clf,0.9765065318162663,0.9733459755583649,0.9765065318162663,0.9795617361989043,9492
healthy->tumor,0.1,naive,0.6647703329119259,0.65528603034134,0.6648756847871892,0.6745706911083017,9492
healthy->tumor,0.1,structure_aware_propensity,0.6704593341761483,0.6610830172777076,0.6705646860514117,0.6805731142014327,9492
healthy->tumor,0.1,domain_clf,0.9405815423514539,0.9359460598398651,0.9404761904761905,0.9451143067846608,9492
tumor_G->healt,0.01,naive,0.9402222222222222,0.9331111111111111,0.9404444444444444,0.9468944444444444,4500
tumor_G->healt,0.01,structure_aware_propensity,0.9397777777777778,0.9328888888888889,0.94,0.9464499999999999,4500
tumor_G->healt,0.01,domain_clf,1.0,1.0,1.0,1.0,4500
tumor_G->healt,0.05,naive,0.8357777777777777,0.8248833333333333,0.8357777777777777,0.8457777777777777,4500
tumor_G->healt,0.05,structure_aware_propensity,0.8342222222222222,0.8237722222222222,0.8344444444444444,0.845561111111111,4500
tumor_G->healt,0.05,domain_clf,0.9997777777777778,0.9993333333333333,0.9997777777777778,1.0,4500
tumor_G->healt,0.1,naive,0.7393333333333333,0.7262166666666666,0.7391111111111112,0.752,4500
tumor_G->healt,0.1,structure_aware_propensity,0.7431111111111111,0.7311111111111112,0.7431111111111111,0.7557777777777778,4500
tumor_G->healt,0.1,domain_clf,0.9988888888888889,0.9977777777777778,0.9988888888888889,0.9997777777777778,4500
