held_out_donor,alpha,target_coverage,coverage_id_only,size_id_only,coverage_full_query,size_full_query,top1_accuracy
human1,0.01,0.99,0.8700501952035694,3.9079754601226995,0.8103896103896104,3.846753246753247,0.6264935064935065
human1,0.05,0.95,0.8215281650864473,2.359174567763525,0.7651948051948052,2.3293506493506495,0.6264935064935065
human1,0.1,0.9,0.7785833798103736,1.7540435025097603,0.7251948051948052,1.7345454545454546,0.6264935064935065
human2,0.01,0.99,0.856379821958457,4.267062314540059,0.838953488372093,4.241279069767442,0.516860465116279
human2,0.05,0.95,0.801780415430267,2.627299703264095,0.7854651162790698,2.6168604651162792,0.516860465116279
human2,0.1,0.9,0.7560830860534125,2.0700296735905046,0.7406976744186047,2.062209302325581,0.516860465116279
human3,0.01,0.99,0.8139400921658986,3.2885944700460827,0.7876254180602007,3.279542920847269,0.500278706800446
human3,0.05,0.95,0.7664170506912442,2.3329493087557602,0.7416387959866221,2.3249721293199554,0.500278706800446
human3,0.1,0.9,0.7191820276497696,1.978110599078341,0.6959308807134894,1.9698996655518395,0.500278706800446
human4,0.01,0.99,0.786952931461602,2.142857142857143,0.737045630317092,2.1786542923433876,0.5862335653518949
human4,0.05,0.95,0.7225433526011561,1.4549958711808422,0.6767208043310131,1.480278422273782,0.5862335653518949
human4,0.1,0.9,0.6573080099091659,1.2262592898431048,0.6156225831399845,1.2498066511987627,0.5862335653518949
