held_out_donor,alpha,target_coverage,coverage_id_only,size_id_only,coverage_full_query,size_full_query,top1_accuracy
human1,0.01,0.99,0.8789737869492471,4.139431121026213,0.8187012987012987,4.10025974025974,0.5376623376623376
human1,0.05,0.95,0.8388176240936978,2.8053541550474064,0.7812987012987013,2.7594805194805194,0.5376623376623376
human1,0.1,0.9,0.7981037367540436,2.1500278862242053,0.7433766233766234,2.1153246753246755,0.5376623376623376
human2,0.01,0.99,0.8640949554896142,3.918100890207715,0.8465116279069768,3.9151162790697676,0.5523255813953488
human2,0.05,0.95,0.7863501483679525,2.1543026706231454,0.7703488372093024,2.1593023255813955,0.5523255813953488
human2,0.1,0.9,0.7275964391691395,1.6836795252225518,0.7127906976744186,1.6883720930232557,0.5523255813953488
human3,0.01,0.99,0.6322004608294931,2.673675115207373,0.6117614269788183,2.6675027870680044,0.37848383500557414
human3,0.05,0.95,0.5982142857142857,2.048963133640553,0.5788740245261984,2.0429208472686735,0.37848383500557414
human3,0.1,0.9,0.5625,1.7664170506912442,0.544314381270903,1.7625418060200668,0.37848383500557414
human4,0.01,0.99,0.8034682080924855,2.786952931461602,0.7525135344160866,2.79969064191802,0.5846867749419954
human4,0.05,0.95,0.7349298100743188,1.560693641618497,0.6883217324052591,1.5777262180974478,0.5846867749419954
human4,0.1,0.9,0.6738232865400495,1.2791081750619322,0.6310904872389791,1.2954369682907967,0.5846867749419954
