held_out_donor,alpha,target_coverage,coverage_id_only,size_id_only,coverage_full_query,size_full_query,top1_accuracy
human1,0.01,0.99,0.3909648633575014,1.8934746235359732,0.3641558441558442,1.8498701298701299,0.2914285714285714
human1,0.05,0.95,0.3608477412158394,1.257110987172337,0.3361038961038961,1.2467532467532467,0.2914285714285714
human1,0.1,0.9,0.339654210819855,1.1416620189626325,0.31636363636363635,1.1366233766233766,0.2914285714285714
human2,0.01,0.99,0.7370919881305638,3.46646884272997,0.7220930232558139,3.432558139534884,0.5052325581395349
human2,0.05,0.95,0.68486646884273,1.938872403560831,0.6709302325581395,1.9284883720930233,0.5052325581395349
human2,0.1,0.9,0.6237388724035609,1.5056379821958457,0.611046511627907,1.5017441860465117,0.5052325581395349
human3,0.01,0.99,0.7523041474654378,3.0017281105990783,0.7279821627647715,2.9827201783723525,0.5579710144927537
human3,0.05,0.95,0.711405529953917,2.004896313364055,0.6884057971014492,1.9930323299888517,0.5579710144927537
human3,0.1,0.9,0.6774193548387096,1.6546658986175116,0.6555183946488294,1.6482720178372352,0.5579710144927537
human4,0.01,0.99,0.8175061932287366,2.5441783649876135,0.765661252900232,2.5986078886310904,0.6040216550657386
human4,0.05,0.95,0.7555739058629232,1.5590421139554087,0.7076566125290024,1.5877803557617942,0.6040216550657386
human4,0.1,0.9,0.7192402972749794,1.347646573080099,0.6736272235112142,1.368909512761021,0.6040216550657386
