reannotation_type,n_cells,mean_nonconformity,median_nonconformity,top1_accuracy
Correctly annotated,9465,0.9772743399842138,0.9990574762605609,0.971473851030111
Misannotated,10173,0.9561570974718661,0.9964290896710888,0.9040597660473804
Underannotated,8335,0.9645235903255812,0.9988777021255746,0.9506898620275945
