reannotation_type,n_cells,accuracy,ci_lo,ci_median,ci_hi
Correctly annotated,9465,0.971473851030111,0.967987321711569,0.971473851030111,0.9747517168515584
Underannotated,8335,0.9506898620275945,0.94624775044991,0.9508098380323935,0.955248950209958
Misannotated,10173,0.9040597660473804,0.8984542416199744,0.9040597660473804,0.9097611324093188
