held_out_dataset,reannotation_type,nonconformity_score,top1_correct
Banovich_Kropski_2020,Misannotated,0.9998408819215524,True
Banovich_Kropski_2020,Misannotated,0.9829550651340557,False
Banovich_Kropski_2020,Correctly annotated,0.6245202901593343,True
Banovich_Kropski_2020,Correctly annotated,0.9995323080906086,True
Banovich_Kropski_2020,Correctly annotated,0.973758374149774,False
Banovich_Kropski_2020,Underannotated,0.9999977601213819,True
Banovich_Kropski_2020,Misannotated,0.7658216090162183,True
Banovich_Kropski_2020,Misannotated,0.9995280290160844,True
Banovich_Kropski_2020,Correctly annotated,0.9920735678359148,True
Banovich_Kropski_2020,Underannotated,0.9968018737966888,True
Banovich_Kropski_2020,Correctly annotated,0.969991384565253,True
Banovich_Kropski_2020,Misannotated,0.9954969713468453,True
Banovich_Kropski_2020,Misannotated,0.9997988777092754,True
Banovich_Kropski_2020,Correctly annotated,0.9811968125576342,True
Banovich_Kropski_2020,Misannotated,0.9983629384018865,True
Banovich_Kropski_2020,Underannotated,0.9987994105793784,True
Banovich_Kropski_2020,Underannotated,0.9829291961596193,True
Banovich_Kropski_2020,Correctly annotated,0.886709326676163,False
Banovich_Kropski_2020,Correctly annotated,0.9985239077018608,True
Banovich_Kropski_2020,Correctly annotated,0.9873807889732696,False
Banovich_Kropski_2020,Correctly annotated,0.999997852023881,True
Banovich_Kropski_2020,Misannotated,0.9801351482391965,True
Banovich_Kropski_2020,Misannotated,0.7644532257791276,True
Banovich_Kropski_2020,Correctly annotated,0.9793020135489373,True
Banovich_Kropski_2020,Correctly annotated,0.7724340344735368,True
Banovich_Kropski_2020,Underannotated,0.8513016000423992,False
Banovich_Kropski_2020,Correctly annotated,0.9885581830009336,True
Banovich_Kropski_2020,Correctly annotated,0.96062232360693,True
Banovich_Kropski_2020,Correctly annotated,0.9969867875438351,True
Banovich_Kropski_2020,Misannotated,0.9979969745857841,True
Banovich_Kropski_2020,Underannotated,0.9817917493891877,True
Banovich_Kropski_2020,Misannotated,0.9240083151770037,True
Banovich_Kropski_2020,Misannotated,0.8144056318121041,True
Banovich_Kropski_2020,Underannotated,0.9999999373902998,True
Banovich_Kropski_2020,Correctly annotated,0.914518704886071,True
Banovich_Kropski_2020,Underannotated,0.9995312273529724,True
Banovich_Kropski_2020,Correctly annotated,0.7550955226013462,True
Banovich_Kropski_2020,Misannotated,0.9976568088022765,True
Banovich_Kropski_2020,Underannotated,0.9993306933286905,True
Banovich_Kropski_2020,Underannotated,0.9921605552557841,False
Banovich_Kropski_2020,Correctly annotated,0.531604119286359,True
Banovich_Kropski_2020,Misannotated,0.999430187507136,True
Banovich_Kropski_2020,Misannotated,0.944912130642181,True
Banovich_Kropski_2020,Correctly annotated,0.6074764840266212,True
Banovich_Kropski_2020,Correctly annotated,0.9995059385332886,True
Banovich_Kropski_2020,Underannotated,0.9985446463167599,True
Banovich_Kropski_2020,Underannotated,0.998311408698834,True
Banovich_Kropski_2020,Underannotated,0.9297865420512593,True
Banovich_Kropski_2020,Correctly annotated,0.9371686661406897,True
Banovich_Kropski_2020,Correctly annotated,0.8397369518008703,True
Banovich_Kropski_2020,Underannotated,0.9980360047088567,True
